"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "XML", "TypeScript", "PostCSS", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityLocationQuestionScreen.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 222
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityLocationScreen.js", "JavaScript", 512, 0, 0, 0, 0, 0, 0, 0, 0, 21, 36, 569
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityLogoscreen.js", "JavaScript", 273, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 308
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityNameScreen.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 206
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityOtpScreen.js", "JavaScript", 309, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 341
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityPhoneNoScreen.js", "JavaScript", 324, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 359
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunitySignupNavigator.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 79
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunitySponsorTypeSelect.js", "JavaScript", 387, 0, 0, 0, 0, 0, 0, 0, 0, 24, 31, 442
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityTypeSelectScreen.js", "JavaScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 213
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\CommunityUsernameScreen.js", "JavaScript", 414, 0, 0, 0, 0, 0, 0, 0, 0, 17, 38, 469
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\community\StudentCommunityThemeScreen.js", "JavaScript", 224, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 245
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberAgeScreen.js", "JavaScript", 410, 0, 0, 0, 0, 0, 0, 0, 0, 14, 34, 458
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberEmailScreen.js", "JavaScript", 423, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 462
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberGenderScreen.js", "JavaScript", 259, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 288
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberInterestsScreen.js", "JavaScript", 360, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 399
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberLocationScreen.js", "JavaScript", 507, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 544
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberNameScreen.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 243
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberOtpScreen.js", "JavaScript", 557, 0, 0, 0, 0, 0, 0, 0, 0, 27, 48, 632
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberPhoneScreen.js", "JavaScript", 287, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 313
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberProfilePicScreen.js", "JavaScript", 432, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 485
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberPronounsScreen.js", "JavaScript", 413, 0, 0, 0, 0, 0, 0, 0, 0, 18, 24, 455
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberSignupNavigator.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 46
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\member\MemberUsernameScreen.js", "JavaScript", 440, 0, 0, 0, 0, 0, 0, 0, 0, 22, 44, 506
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorBioScreen.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 251
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorBrandNameScreen.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 177
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorCategoryScreen.js", "JavaScript", 429, 0, 0, 0, 0, 0, 0, 0, 0, 22, 42, 493
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorEmailScreen.js", "JavaScript", 256, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 285
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorInterestsScreen.js", "JavaScript", 297, 0, 0, 0, 0, 0, 0, 0, 0, 24, 33, 354
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorLogoScreen.js", "JavaScript", 271, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 296
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorOtpScreen.js", "JavaScript", 261, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 284
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorPhoneNoScreen.js", "JavaScript", 206, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 227
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorSignupNavigator.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\sponsor\SponsorUsernameScreen.js", "JavaScript", 274, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 301
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueAddressScreen.js", "JavaScript", 236, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 255
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueBioScreen.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 248
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueCategoryScreen.js", "JavaScript", 446, 0, 0, 0, 0, 0, 0, 0, 0, 23, 44, 513
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueEmailScreen.js", "JavaScript", 267, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 295
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueHostNamePhoneScreen.js", "JavaScript", 346, 0, 0, 0, 0, 0, 0, 0, 0, 18, 31, 395
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueInterestScreen.js", "JavaScript", 297, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 326
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueLogoScreen.js", "JavaScript", 272, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 299
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueMaxCapScreen.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 210
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueNameScreen.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 172
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueOtpScreen.js", "JavaScript", 245, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 267
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenuePricingScreen.js", "JavaScript", 266, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 300
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueSignupNavigator.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\signup\venue\VenueUsernameScreen.js", "JavaScript", 274, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 303
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\services\HapticsService.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 21, 14, 99
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\services\LocationTracker.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 124
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\AvatarGenerator.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\EventBus.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\LikeStateManager.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 34, 13, 96
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\accountFix.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 50
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\accountManager.js", "JavaScript", 572, 0, 0, 0, 0, 0, 0, 0, 0, 116, 92, 780
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\draftStorage.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 111
