"filename", "language", "JavaScript", "Markdown", "JSON", "XML", "MS SQL", "Log", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\context\NotificationsContext.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 122
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\context\VideoContext.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 122
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\contexts\AuthStateContext.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 18, 133
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\contexts\StatusBarManager.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 64
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\data\mockData.js", "JavaScript", 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 404
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useFeedPolling.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 35, 226
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useMessagePolling.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 26, 150
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useProfileCountsPolling.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 22, 189
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useQualifiedView.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 26, 171
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useTokenRefresh.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 24, 180
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useVideoQualifiedView.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 32, 186
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\AppNavigator.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 143
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\BottomTabNavigator.js", "JavaScript", 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 271
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityBottomTabNavigator.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 163
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityDashboardStackNavigator.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityHomeStackNavigator.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 130
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityProfileStackNavigator.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunitySearchStackNavigator.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityStackNavigator.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\DiscoverStackNavigator.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
