"filename", "language", "JavaScript", "JSON", "MS SQL", "Log", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\cleanup_duplicates_safe.sql", "MS SQL", 0, 0, 98, 0, 0, 0, 0, 38, 18, 154
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\community_categories_migration.sql", "MS SQL", 0, 0, 32, 0, 0, 0, 0, 16, 6, 54
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\create_challenge_tagging_tables.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 13, 13, 110
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\db_state.json", "JSON", 0, 81, 0, 0, 0, 0, 0, 0, 0, 81
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\drop_sponsor_types_constraint.sql", "MS SQL", 0, 0, 1, 0, 0, 0, 0, 8, 3, 12
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\fix_bidirectional_dupes.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 14, 13, 107
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\fix_poll_votes_constraint.sql", "MS SQL", 0, 0, 6, 0, 0, 0, 0, 4, 5, 15
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\opportunities_migration.sql", "MS SQL", 0, 0, 112, 0, 0, 0, 0, 26, 25, 163
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\post_edit_tracking_migration.sql", "MS SQL", 0, 0, 7, 0, 0, 0, 0, 6, 5, 18
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\qualified_views_migration.sql", "MS SQL", 0, 0, 31, 0, 0, 0, 0, 17, 9, 57
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\run_card_timing_migration.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 6, 9, 45
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\run_challenge_enhanced_migration.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 12, 12, 107
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\run_fix_poll_votes_constraint.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 2, 8, 44
